FCTNO  VLTY  TIME  STRIKE   OPRICE  
  152  0.20  15.0  124.00   0.0000
  153  0.20  15.0  125.00   0.0000
  154  0.40   5.0   75.00  25.0000
  155  0.40   5.0   76.00  24.0000
  156  0.40   5.0   77.00  23.0000
  157  0.40   5.0   78.00  22.0000
  158  0.40   5.0   79.00  21.0000
  159  0.40   5.0   80.00  20.0000
  160  0.40   5.0   81.00  19.0001
  161  0.40   5.0   82.00  18.0003
  162  0.40   5.0   83.00  17.0006
  163  0.40   5.0   84.00  16.0014
  164  0.40   5.0   85.00  15.0030
  165  0.40   5.0   86.00  14.0060
  166  0.40   5.0   87.00  13.0115
  167  0.40   5.0   88.00  12.0212
  168  0.40   5.0   89.00  11.0375
  169  0.40   5.0   90.00  10.0638
  170  0.40   5.0   91.00   9.1047
  171  0.40   5.0   92.00   8.1657
  172  0.40   5.0   93.00   7.2537
  173  0.40   5.0   94.00   6.3761
  174  0.40   5.0   95.00   5.5410
  175  0.40   5.0   96.00   4.7564
  176  0.40   5.0   97.00   4.0295
  177  0.40   5.0   98.00   3.3665
  178  0.40   5.0   99.00   2.7717
  179  0.40   5.0  100.00   2.2475
  180  0.40   5.0  101.00   1.7938
  181  0.40   5.0  102.00   1.4087
  182  0.40   5.0  103.00   1.0880
  183  0.40   5.0  104.00   0.8262
  184  0.40   5.0  105.00   0.6168
  185  0.40   5.0  106.00   0.4526
  186  0.40   5.0  107.00   0.3263
  187  0.40   5.0  108.00   0.2313
  188  0.40   5.0  109.00   0.1611
  189  0.40   5.0  110.00   0.1103
  190  0.40   5.0  111.00   0.0742
  191  0.40   5.0  112.00   0.0491
  192  0.40   5.0  113.00   0.0319
  193  0.40   5.0  114.00   0.0204
  194  0.40   5.0  115.00   0.0129
  195  0.40   5.0  116.00   0.0080
  196  0.40   5.0  117.00   0.0048
  197  0.40   5.0  118.00   0.0029
  198  0.40   5.0  119.00   0.0017
  199  0.40   5.0  120.00   0.0010
  200  0.40   5.0  121.00   0.0006
  201  0.40   5.0  122.00   0.0003
  202  0.40   5.0  123.00   0.0002
  203  0.40   5.0  124.00   0.0001
  204  0.40   5.0  125.00   0.0001
  205  0.40  10.0   75.00  25.0003
  206  0.40  10.0   76.00  24.0005
  207  0.40  10.0   77.00  23.0010
  208  0.40  10.0   78.00  22.0018
  209  0.40  10.0   79.00  21.0031
  210  0.40  10.0   80.00  20.0054
  211  0.40  10.0   81.00  19.0091
  212  0.40  10.0   82.00  18.0149
  213  0.40  10.0   83.00  17.0237
  214  0.40  10.0   84.00  16.0369
  215  0.40  10.0   85.00  15.0560
  216  0.40  10.0   86.00  14.0832
  217  0.40  10.0   87.00  13.1208
  218  0.40  10.0   88.00  12.1719
  219  0.40  10.0   89.00  11.2397
  220  0.40  10.0   90.00  10.3280
  221  0.40  10.0   91.00   9.4408
  222  0.40  10.0   92.00   8.5821
  223  0.40  10.0   93.00   7.7563
  224  0.40  10.0   94.00   6.9672
  225  0.40  10.0   95.00   6.2188
  226  0.40  10.0   96.00   5.5142
  227  0.40  10.0   97.00   4.8562
  228  0.40  10.0   98.00   4.2468
  229  0.40  10.0   99.00   3.6872
  230  0.40  10.0  100.00   3.1780
  231  0.40  10.0  101.00   2.7187
  232  0.40  10.0  102.00   2.3083
  233  0.40  10.0  103.00   1.9450
  234  0.40  10.0  104.00   1.6262
  235  0.40  10.0  105.00   1.3493
  236  0.40  10.0  106.00   1.1108
  237  0.40  10.0  107.00   0.9074
  238  0.40  10.0  108.00   0.7356
  239  0.40  10.0  109.00   0.5917
  240  0.40  10.0  110.00   0.4723
  241  0.40  10.0  111.00   0.3742
  242  0.40  10.0  112.00   0.2942
  243  0.40  10.0  113.00   0.2296
  244  0.40  10.0  114.00   0.1778
  245  0.40  10.0  115.00   0.1368
  246  0.40  10.0  116.00   0.1044
  247  0.40  10.0  117.00   0.0791
  248  0.40  10.0  118.00   0.0596
  249  0.40  10.0  119.00   0.0445
  250  0.40  10.0  120.00   0.0331
  251  0.40  10.0  121.00   0.0244
  252  0.40  10.0  122.00   0.0179
  253  0.40  10.0  123.00   0.0130
  254  0.40  10.0  124.00   0.0094
  255  0.40  10.0  125.00   0.0068
  256  0.40  15.0   75.00  25.0039
  257  0.40  15.0   76.00  24.0062
  258  0.40  15.0   77.00  23.0097
  259  0.40  15.0   78.00  22.0149
  260  0.40  15.0   79.00  21.0225
  261  0.40  15.0   80.00  20.0332
  262  0.40  15.0   81.00  19.0481
  263  0.40  15.0   82.00  18.0685
  264  0.40  15.0   83.00  17.0958
  265  0.40  15.0   84.00  16.1319
  266  0.40  15.0   85.00  15.1788
  267  0.40  15.0   86.00  14.2387
  268  0.40  15.0   87.00  13.3141
  269  0.40  15.0   88.00  12.4078
  270  0.40  15.0   89.00  11.5224
  271  0.40  15.0   90.00  10.6608
  272  0.40  15.0   91.00   9.8259
  273  0.40  15.0   92.00   9.0205
  274  0.40  15.0   93.00   8.2472
  275  0.40  15.0   94.00   7.5084
  276  0.40  15.0   95.00   6.8063
  277  0.40  15.0   96.00   6.1425
  278  0.40  15.0   97.00   5.5184
  279  0.40  15.0   98.00   4.9350
  280  0.40  15.0   99.00   4.3928
  281  0.40  15.0  100.00   3.8917
  282  0.40  15.0  101.00   3.4315
  283  0.40  15.0  102.00   3.0112
  284  0.40  15.0  103.00   2.6298
  285  0.40  15.0  104.00   2.2856
  286  0.40  15.0  105.00   1.9769
  287  0.40  15.0  106.00   1.7017
  288  0.40  15.0  107.00   1.4578
  289  0.40  15.0  108.00   1.2429
  290  0.40  15.0  109.00   1.0547
  291  0.40  15.0  110.00   0.8907
  292  0.40  15.0  111.00   0.7487
  293  0.40  15.0  112.00   0.6265
  294  0.40  15.0  113.00   0.5218
  295  0.40  15.0  114.00   0.4326
  296  0.40  15.0  115.00   0.3571
  297  0.40  15.0  116.00   0.2934
  298  0.40  15.0  117.00   0.2401
  299  0.40  15.0  118.00   0.1956
  300  0.40  15.0  119.00   0.1587
  301  0.40  15.0  120.00   0.1282
  302  0.40  15.0  121.00   0.1031
  303  0.40  15.0  122.00   0.0826
  304  0.40  15.0  123.00   0.0659
  305  0.40  15.0  124.00   0.0524
  306  0.40  15.0  125.00   0.0415
  307  0.60   5.0   75.00  25.0006
  308  0.60   5.0   76.00  24.0011
  309  0.60   5.0   77.00  23.0020
  310  0.60   5.0   78.00  22.0035
  311  0.60   5.0   79.00  21.0059
  312  0.60   5.0   80.00  20.0097
  313  0.60   5.0   81.00  19.0156
  314  0.60   5.0   82.00  18.0243
  315  0.60   5.0   83.00  17.0371
  316  0.60   5.0   84.00  16.0554
  317  0.60   5.0   85.00  15.0811
  318  0.60   5.0   86.00  14.1162
  319  0.60   5.0   87.00  13.1634
  320  0.60   5.0   88.00  12.2256
  321  0.60   5.0   89.00  11.3061
  322  0.60   5.0   90.00  10.4082
  323  0.60   5.0   91.00   9.5357
  324  0.60   5.0   92.00   8.6924
  325  0.60   5.0   93.00   7.8820
  326  0.60   5.0   94.00   7.1078
  327  0.60   5.0   95.00   6.3732
  328  0.60   5.0   96.00   5.6810
  329  0.60   5.0   97.00   5.0333
  330  0.60   5.0   98.00   4.4318
  331  0.60   5.0   99.00   3.8775
  332  0.60   5.0  100.00   3.3707
  333  0.60   5.0  101.00   2.9110
  334  0.60   5.0  102.00   2.4973
  335  0.60   5.0  103.00   2.1282
  336  0.60   5.0  104.00   1.8015
  337  0.60   5.0  105.00   1.5147
  338  0.60   5.0  106.00   1.2650
  339  0.60   5.0  107.00   1.0493
  340  0.60   5.0  108.00   0.8646
  341  0.60   5.0  109.00   0.7076
  342  0.60   5.0  110.00   0.5753
  343  0.60   5.0  111.00   0.4646
  344  0.60   5.0  112.00   0.3728
  345  0.60   5.0  113.00   0.2972
  346  0.60   5.0  114.00   0.2354
  347  0.60   5.0  115.00   0.1853
  348  0.60   5.0  116.00   0.1449
  349  0.60   5.0  117.00   0.1126
  350  0.60   5.0  118.00   0.0870
  351  0.60   5.0  119.00   0.0668
  352  0.60   5.0  120.00   0.0510
  353  0.60   5.0  121.00   0.0387
  354  0.60   5.0  122.00   0.0292
  355  0.60   5.0  123.00   0.0219
  356  0.60   5.0  124.00   0.0164
  357  0.60   5.0  125.00   0.0121
  358  0.60  10.0   75.00  25.0275
  359  0.60  10.0   76.00  24.0385
  360  0.60  10.0   77.00  23.0531
  361  0.60  10.0   78.00  22.0723
  362  0.60  10.0   79.00  21.0970
  363  0.60  10.0   80.00  20.1285
  364  0.60  10.0   81.00  19.1682
  365  0.60  10.0   82.00  18.2176
  366  0.60  10.0   83.00  17.2783
  367  0.60  10.0   84.00  16.3520
  368  0.60  10.0   85.00  15.4407
  369  0.60  10.0   86.00  14.5463
  370  0.60  10.0   87.00  13.6707
  371  0.60  10.0   88.00  12.8159
  372  0.60  10.0   89.00  11.9839
  373  0.60  10.0   90.00  11.1766
  374  0.60  10.0   91.00  10.3957
  375  0.60  10.0   92.00   9.6430
  376  0.60  10.0   93.00   8.9198
  377  0.60  10.0   94.00   8.2275
  378  0.60  10.0   95.00   7.5671
  379  0.60  10.0   96.00   6.9395
  380  0.60  10.0   97.00   6.3454
  381  0.60  10.0   98.00   5.7849
  382  0.60  10.0   99.00   5.2583
  383  0.60  10.0  100.00   4.7655
  384  0.60  10.0  101.00   4.3058
  385  0.60  10.0  102.00   3.8789
  386  0.60  10.0  103.00   3.4839
  387  0.60  10.0  104.00   3.1198
  388  0.60  10.0  105.00   2.7854
  389  0.60  10.0  106.00   2.4795
  390  0.60  10.0  107.00   2.2007
  391  0.60  10.0  108.00   1.9476
  392  0.60  10.0  109.00   1.7186
  393  0.60  10.0  110.00   1.5121
  394  0.60  10.0  111.00   1.3267
  395  0.60  10.0  112.00   1.1608
  396  0.60  10.0  113.00   1.0127
  397  0.60  10.0  114.00   0.8811
  398  0.60  10.0  115.00   0.7646
  399  0.60  10.0  116.00   0.6617
  400  0.60  10.0  117.00   0.5711
  401  0.60  10.0  118.00   0.4916
  402  0.60  10.0  119.00   0.4221
  403  0.60  10.0  120.00   0.3616
  404  0.60  10.0  121.00   0.3089
  405  0.60  10.0  122.00   0.2633
  406  0.60  10.0  123.00   0.2238
  407  0.60  10.0  124.00   0.1899
  408  0.60  10.0  125.00   0.1607
  409  0.60  15.0   75.00  25.1178
  410  0.60  15.0   76.00  24.1503
  411  0.60  15.0   77.00  23.1898
  412  0.60  15.0   78.00  22.2375
  413  0.60  15.0   79.00  21.2946
  414  0.60  15.0   80.00  20.3622
  415  0.60  15.0   81.00  19.4417
  416  0.60  15.0   82.00  18.5345
  417  0.60  15.0   83.00  17.6419
  418  0.60  15.0   84.00  16.7652
  419  0.60  15.0   85.00  15.9059
  420  0.60  15.0   86.00  15.0654
  421  0.60  15.0   87.00  14.2449
  422  0.60  15.0   88.00  13.4457
  423  0.60  15.0   89.00  12.6689
  424  0.60  15.0   90.00  11.9158
  425  0.60  15.0   91.00  11.1872
  426  0.60  15.0   92.00  10.4840
  427  0.60  15.0   93.00   9.8070
  428  0.60  15.0   94.00   9.1568
  429  0.60  15.0   95.00   8.5338
  430  0.60  15.0   96.00   7.9385
  431  0.60  15.0   97.00   7.3709
  432  0.60  15.0   98.00   6.8312
  433  0.60  15.0   99.00   6.3192
  434  0.60  15.0  100.00   5.8347
  435  0.60  15.0  101.00   5.3774
  436  0.60  15.0  102.00   4.9468
  437  0.60  15.0  103.00   4.5423
  438  0.60  15.0  104.00   4.1633
  439  0.60  15.0  105.00   3.8091
  440  0.60  15.0  106.00   3.4787
  441  0.60  15.0  107.00   3.1713
  442  0.60  15.0  108.00   2.8860
  443  0.60  15.0  109.00   2.6217
  444  0.60  15.0  110.00   2.3776
  445  0.60  15.0  111.00   2.1525
  446  0.60  15.0  112.00   1.9454
  447  0.60  15.0  113.00   1.7554
  448  0.60  15.0  114.00   1.5813
  449  0.60  15.0  115.00   1.4221
  450  0.60  15.0  116.00   1.2770
  451  0.60  15.0  117.00   1.1448
  452  0.60  15.0  118.00   1.0248
  453  0.60  15.0  119.00   0.9159
  454  0.60  15.0  120.00   0.8174
  455  0.60  15.0  121.00   0.7284
  456  0.60  15.0  122.00   0.6481
  457  0.60  15.0  123.00   0.5759
  458  0.60  15.0  124.00   0.5110
  459  0.60  15.0  125.00   0.4528
  460  0.80   5.0   75.00  25.0166
  461  0.80   5.0   76.00  24.0240
  462  0.80   5.0   77.00  23.0342
  463  0.80   5.0   78.00  22.0479
  464  0.80   5.0   79.00  21.0662
  465  0.80   5.0   80.00  20.0901
  466  0.80   5.0   81.00  19.1210
  467  0.80   5.0   82.00  18.1604
  468  0.80   5.0   83.00  17.2098
  469  0.80   5.0   84.00  16.2712
  470  0.80   5.0   85.00  15.3465
  471  0.80   5.0   86.00  14.4377
  472  0.80   5.0   87.00  13.5470
  473  0.80   5.0   88.00  12.6767
  474  0.80   5.0   89.00  11.8288
  475  0.80   5.0   90.00  11.0055
  476  0.80   5.0   91.00  10.2090
  477  0.80   5.0   92.00   9.4412
  478  0.80   5.0   93.00   8.7038
  479  0.80   5.0   94.00   7.9985
  480  0.80   5.0   95.00   7.3264
  481  0.80   5.0   96.00   6.6888
  482  0.80   5.0   97.00   6.0863
  483  0.80   5.0   98.00   5.5195
  484  0.80   5.0   99.00   4.9885
  485  0.80   5.0  100.00   4.4932
  486  0.80   5.0  101.00   4.0332
  487  0.80   5.0  102.00   3.6079
  488  0.80   5.0  103.00   3.2164
  489  0.80   5.0  104.00   2.8575
  490  0.80   5.0  105.00   2.5300
  491  0.80   5.0  106.00   2.2324
  492  0.80   5.0  107.00   1.9631
  493  0.80   5.0  108.00   1.7205
  494  0.80   5.0  109.00   1.5028
  495  0.80   5.0  110.00   1.3083
  496  0.80   5.0  111.00   1.1353
  497  0.80   5.0  112.00   0.9819
  498  0.80   5.0  113.00   0.8465
  499  0.80   5.0  114.00   0.7274
  500  0.80   5.0  115.00   0.6232
  501  0.80   5.0  116.00   0.5322
  502  0.80   5.0  117.00   0.4531
  503  0.80   5.0  118.00   0.3846
  504  0.80   5.0  119.00   0.3255
  505  0.80   5.0  120.00   0.2747
  506  0.80   5.0  121.00   0.2311
  507  0.80   5.0  122.00   0.1939
  508  0.80   5.0  123.00   0.1622
  509  0.80   5.0  124.00   0.1354
  510  0.80   5.0  125.00   0.1126
  511  0.80  10.0   75.00  25.1940
  512  0.80  10.0   76.00  24.2401
  513  0.80  10.0   77.00  23.2949
  514  0.80  10.0   78.00  22.3592
  515  0.80  10.0   79.00  21.4343
  516  0.80  10.0   80.00  20.5212
  517  0.80  10.0   81.00  19.6213
  518  0.80  10.0   82.00  18.7357
  519  0.80  10.0   83.00  17.8655
  520  0.80  10.0   84.00  17.0120
  521  0.80  10.0   85.00  16.1763
  522  0.80  10.0   86.00  15.3595
  523  0.80  10.0   87.00  14.5627
  524  0.80  10.0   88.00  13.7869
  525  0.80  10.0   89.00  13.0330
  526  0.80  10.0   90.00  12.3019
  527  0.80  10.0   91.00  11.5942
  528  0.80  10.0   92.00  10.9106
  529  0.80  10.0   93.00  10.2517
  530  0.80  10.0   94.00   9.6179
  531  0.80  10.0   95.00   9.0094
  532  0.80  10.0   96.00   8.4266
  533  0.80  10.0   97.00   7.8694
  534  0.80  10.0   98.00   7.3378
  535  0.80  10.0   99.00   6.8318
  536  0.80  10.0  100.00   6.3510
  537  0.80  10.0  101.00   5.8951
  538  0.80  10.0  102.00   5.4638
  539  0.80  10.0  103.00   5.0566
  540  0.80  10.0  104.00   4.6727
  541  0.80  10.0  105.00   4.3118
  542  0.80  10.0  106.00   3.9729
  543  0.80  10.0  107.00   3.6554
  544  0.80  10.0  108.00   3.3585
  545  0.80  10.0  109.00   3.0814
  546  0.80  10.0  110.00   2.8233
  547  0.80  10.0  111.00   2.5832
  548  0.80  10.0  112.00   2.3604
  549  0.80  10.0  113.00   2.1539
  550  0.80  10.0  114.00   1.9629
  551  0.80  10.0  115.00   1.7865
  552  0.80  10.0  116.00   1.6238
  553  0.80  10.0  117.00   1.4742
  554  0.80  10.0  118.00   1.3366
  555  0.80  10.0  119.00   1.2105
  556  0.80  10.0  120.00   1.0949
  557  0.80  10.0  121.00   0.9892
  558  0.80  10.0  122.00   0.8926
  559  0.80  10.0  123.00   0.8046
  560  0.80  10.0  124.00   0.7245
  561  0.80  10.0  125.00   0.6516
  562  0.80  15.0   75.00  25.5238
  563  0.80  15.0   76.00  24.6136
  564  0.80  15.0   77.00  23.7148
  565  0.80  15.0   78.00  22.8283
  566  0.80  15.0   79.00  21.9549
  567  0.80  15.0   80.00  21.0955
  568  0.80  15.0   81.00  20.2509
  569  0.80  15.0   82.00  19.4218
  570  0.80  15.0   83.00  18.6091
  571  0.80  15.0   84.00  17.8135
  572  0.80  15.0   85.00  17.0355
  573  0.80  15.0   86.00  16.2760
  574  0.80  15.0   87.00  15.5353
  575  0.80  15.0   88.00  14.8141
  576  0.80  15.0   89.00  14.1127
  577  0.80  15.0   90.00  13.4316
  578  0.80  15.0   91.00  12.7712
  579  0.80  15.0   92.00  12.1315
  580  0.80  15.0   93.00  11.5129
  581  0.80  15.0   94.00  10.9154
  582  0.80  15.0   95.00  10.3392
  583  0.80  15.0   96.00   9.7842
  584  0.80  15.0   97.00   9.2503
  585  0.80  15.0   98.00   8.7375
  586  0.80  15.0   99.00   8.2456
  587  0.80  15.0  100.00   7.7742
  588  0.80  15.0  101.00   7.3232
  589  0.80  15.0  102.00   6.8922
  590  0.80  15.0  103.00   6.4808
  591  0.80  15.0  104.00   6.0887
  592  0.80  15.0  105.00   5.7154
  593  0.80  15.0  106.00   5.3604
  594  0.80  15.0  107.00   5.0232
  595  0.80  15.0  108.00   4.7034
  596  0.80  15.0  109.00   4.4003
  597  0.80  15.0  110.00   4.1134
  598  0.80  15.0  111.00   3.8421
  599  0.80  15.0  112.00   3.5860
  600  0.80  15.0  113.00   3.3443
  601  0.80  15.0  114.00   3.1166
  602  0.80  15.0  115.00   2.9022
  603  0.80  15.0  116.00   2.7005
  604  0.80  15.0  117.00   2.5111
  605  0.80  15.0  118.00   2.3333
  606  0.80  15.0  119.00   2.1665
  607  0.80  15.0  120.00   2.0104
  608  0.80  15.0  121.00   1.8642
  609  0.80  15.0  122.00   1.7275
  610  0.80  15.0  123.00   1.5997
  611  0.80  15.0  124.00   1.4805
  612  0.80  15.0  125.00   1.3693
  613  1.00   5.0   75.00  25.0922
  614  1.00   5.0   76.00  24.1194
  615  1.00   5.0   77.00  23.1530
  616  1.00   5.0   78.00  22.1940
  617  1.00   5.0   79.00  21.2437
  618  1.00   5.0   80.00  20.3034
  619  1.00   5.0   81.00  19.3743
  620  1.00   5.0   82.00  18.4579
  621  1.00   5.0   83.00  17.5555
  622  1.00   5.0   84.00  16.6688
  623  1.00   5.0   85.00  15.7991
  624  1.00   5.0   86.00  14.9479
  625  1.00   5.0   87.00  14.1167
  626  1.00   5.0   88.00  13.3069
  627  1.00   5.0   89.00  12.5197
  628  1.00   5.0   90.00  11.7564
  629  1.00   5.0   91.00  11.0181
  630  1.00   5.0   92.00  10.3058
  631  1.00   5.0   93.00   9.6204
  632  1.00   5.0   94.00   8.9625
  633  1.00   5.0   95.00   8.3328
  634  1.00   5.0   96.00   7.7316
  635  1.00   5.0   97.00   7.1592
  636  1.00   5.0   98.00   6.6156
  637  1.00   5.0   99.00   6.1009
  638  1.00   5.0  100.00   5.6148
  639  1.00   5.0  101.00   5.1569
  640  1.00   5.0  102.00   4.7268
  641  1.00   5.0  103.00   4.3238
  642  1.00   5.0  104.00   3.9473
  643  1.00   5.0  105.00   3.5964
  644  1.00   5.0  106.00   3.2702
  645  1.00   5.0  107.00   2.9677
  646  1.00   5.0  108.00   2.6880
  647  1.00   5.0  109.00   2.4300
  648  1.00   5.0  110.00   2.1926
  649  1.00   5.0  111.00   1.9746
  650  1.00   5.0  112.00   1.7750
  651  1.00   5.0  113.00   1.5926
  652  1.00   5.0  114.00   1.4264
  653  1.00   5.0  115.00   1.2753
  654  1.00   5.0  116.00   1.1381
  655  1.00   5.0  117.00   1.0140
  656  1.00   5.0  118.00   0.9018
  657  1.00   5.0  119.00   0.8007
  658  1.00   5.0  120.00   0.7098
  659  1.00   5.0  121.00   0.6281
  660  1.00   5.0  122.00   0.5550
  661  1.00   5.0  123.00   0.4896
  662  1.00   5.0  124.00   0.4312
  663  1.00   5.0  125.00   0.3792
  664  1.00  10.0   75.00  25.5715
  665  1.00  10.0   76.00  24.6664
  666  1.00  10.0   77.00  23.7730
  667  1.00  10.0   78.00  22.8921
  668  1.00  10.0   79.00  22.0244
  669  1.00  10.0   80.00  21.1708
  670  1.00  10.0   81.00  20.3321
  671  1.00  10.0   82.00  19.5090
  672  1.00  10.0   83.00  18.7023
  673  1.00  10.0   84.00  17.9125
  674  1.00  10.0   85.00  17.1404
  675  1.00  10.0   86.00  16.3866
  676  1.00  10.0   87.00  15.6514
  677  1.00  10.0   88.00  14.9356
  678  1.00  10.0   89.00  14.2393
  679  1.00  10.0   90.00  13.5631
  680  1.00  10.0   91.00  12.9071
  681  1.00  10.0   92.00  12.2717
  682  1.00  10.0   93.00  11.6569
  683  1.00  10.0   94.00  11.0629
  684  1.00  10.0   95.00  10.4898
  685  1.00  10.0   96.00   9.9374
  686  1.00  10.0   97.00   9.4058
  687  1.00  10.0   98.00   8.8949
  688  1.00  10.0   99.00   8.4044
  689  1.00  10.0  100.00   7.9340
  690  1.00  10.0  101.00   7.4836
  691  1.00  10.0  102.00   7.0528
  692  1.00  10.0  103.00   6.6412
  693  1.00  10.0  104.00   6.2485
  694  1.00  10.0  105.00   5.8742
  695  1.00  10.0  106.00   5.5179
  696  1.00  10.0  107.00   5.1791
  697  1.00  10.0  108.00   4.8572
